Thread Size,Cable Type,Number of Lamps,Temperature Range,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,Packaging Type,Minimum Operating Temperature,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Humidity Range,Tensile Strength,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,Insulation Material,Housing Material,Grille Material,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Description,Flexibility,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,Model,Cord Diameter,Details,Connector Type,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,Cutout,Cord Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Stages Heat,Composition,Number of Heads,Length,Element Size,Tongue Size,Supplier,Actuator,Hole Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Specifications,Number of Hubs,Number of Gangs,Style,Orientation,Number of Cables,Number of Outlets,Cable Openings,Conductor Material,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Flammability Rating,Radius,Voltage,Lamp Wattage,Peak Surge Current,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Bundle Diameter,Number of Ports,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Stud Size,Bar Length,Operation,UPC,Pipe Size,Standard Pack,Wire Type,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,Trade Size,NEMA Rating,Contact Form,Frequency Rating,Legend Color,Ceiling Opening,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Load Capacity,Contact Rating,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,End Style,Number of Conductors,Horsepower,Adhesion Strength,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,Power Source,Orifice Size,Top to Inlet Center,Tap Size,AC/DC,Conductor Size,Lock Mechanism,Light Output,Cable Size,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,Body Type,Color,Trim Material,Lumens,Seal Material,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Barrel Size,image,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Connection,Interrupt Rating
,,,,,,,,,,,,,,3/4 x 1/2 in,,,,,,FIG 383,,,,$2.10,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BBLK%2B3%252F4X1%252F2/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2B1%252F2%2BBLK%2BSTEEL%2BHEX%2BBUSHING,1177,,Piping & Fittings,,,,,,,,,3/4 X 1/2 BLK STEEL HEX BUSHING,,,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 3/4 x 1/2 in Nominal, MNPT x FNPT End Style, 150/300 lb Pressure Class, Cast Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4137255,,BUSH BLK 3/4X1/2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Hex Head,,,,,,,69029134741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150/300 lb,,,,Domestic,,,,,,0318905601,,,,,Cast Iron,,,,,,,,,,,,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,3/4 X 1/2 BLK STEEL HEX BUSHING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%203%2F4X1%2F2&mdx=300,,,,,,-20 to 150 deg F,,,
,,,,,,,,,,,,,,1-1/2 in,,,,,,P300,,,,$2.85,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BPVCD%2B1-1%252F2/Spears_1-1%252F2%2BPVC-DWV%2B90%2BELL%2BP300-015,411,,Piping & Fittings,,,,,,,,,1-1/2 PVC-DWV 90 ELL P300-015,,,,,,,,,"Description
Spears® P300-015, P300, 90 deg Elbow Fitting/Connector, 1-1/2 in Nominal, Hub End Style, Molded Method of Manufacture, PVC, White, Domestic/Import: Domestic
Standards/Approval:
ASTM D2665
ASTM D3311
ASTM D1784
ASTM F1866
NSF 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5489717,,90 PVCD 1-1/2,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,054211170991,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,P300-015,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,White,,,,,,,,1-1/2 PVC-DWV 90 ELL P300-015,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20PVCD%201-1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$0.71,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PIPE%2BCELL%2B1-1%252F2X10/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_1-1%252F2%2BCELL%2BCORE%2BPIPE%2B10%2527%2B51820,2880,,Piping & Fittings,,,,,,,,,1-1/2 CELL CORE PIPE 10' 51820,,,,,,,,,"1-1/2 CELL CORE PIPE 10'
View catalog page
Keywords: CRESLI PIPE CELL 1-1/2X10  CRESLINE PLASTIC PIPE COMPANY CRESLI51820          1-1/2 CELL CORE PIPE 10
Category:
[0] => PLUMBING => PIPE & TUBING => PLASTIC PIPE => PVC CELLULAR CORE DWV PLASTIC PIPE
[1] => SUPPLIER DIRECTORY => CRESLINE PLASTIC PIPE COMPANY => PLUMBING => PIPE & TUBING => PLASTIC PIPE => PVC CELLULAR CORE DWV PLASTIC PIPE
Kelly Legacy Part Number: 4104992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPE CELL 1-1/2X10,,,,,,,,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,,,,,,,,098248518203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1/2 CELL CORE PIPE 10' 51820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$0.80,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PLUG%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BSTEEL%2BSTD%2BMERCHANT%2BSQ%2BHEAD%2BPLUG,1732,,Piping & Fittings,,,,,,,,,1/2 STEEL STD MERCHANT SQ HEAD PLUG,,,,,,,,,"Description
Anvil® Solid Plug, Square Head, Fitting/Connector Type: Plug, 1/2 in Nominal, MNPT, 125 lb, 175 psi, Merchant Steel, Black Oxide, -20 to 150 deg F, Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.4
cULus Listed
FM Approved",,,Black Oxide,,,,,,,,,,,,,,,,,,,,175 psi,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4208015,,PLUG BLK 1/2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Square Head,,,,,,,69029135342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 lb,,,,Domestic,,,,,,0318901568,,,,,Merchant Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Plug,,,,,,,,,,1/2 STEEL STD MERCHANT SQ HEAD PLUG,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PLUG%20BLK%201%2F2&mdx=300,,,,,,-20 to 150 deg F,,,
,,,,,,,,,,,,,,3/4 x 1/2 in,,,,,,,,,,$3.08,,,1.18 in,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2B304%2B3%252F4X1%252F2/Merit%2BBrass%2BCompany_3%252F4%2BX%2B1%252F2%2B150%2523%2BTYPE%2B304%2BSS%2BBUSHING,596,,Piping & Fittings,,,,,,,,,3/4 X 1/2 150# TYPE 304 SS BUSHING,,,,,,,,,"Description
Merit Brass Pipe Bushing, Hex Head, Bushing Fitting/Connector, 3/4 x 1/2 in Nominal, MNPT x FNPT End Style, 1.18 in Hex, 0.94 in Length, 150 lb Pressure Class, 304/304L Stainless Steel, 100 deg F, Domestic/Import: Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94 in,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5767298,,BUSH 304 3/4X1/2,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,Hex Head,,,,,,,671404095512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Import,,,,,,K414-1208,,,,,304/304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,3/4 X 1/2 150# TYPE 304 SS BUSHING,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20304%203%2F4X1%2F2&mdx=300,,,,,,100 deg F,,,
,,,,,,,,,,,,,,3/4 in,,,,,,,,,,$2.03,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2B304%2B3%252F4XCL/Merit%2BBrass%2BCompany_3%252F4%2BX%2BCL%2BSCH40%2BTYPE%2B304%2BSS%2BNIPPLE,618,,Piping & Fittings,,,,,,,,,3/4 X CL SCH40 TYPE 304 SS NIPPLE,,,,,,,,,"Description
Merit Brass Pipe Nipple, 3/4 in Nominal, MNPT, Close Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,Close,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP 304 3/4XCL,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404027117,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,4012-001,,,,,304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 X CL SCH40 TYPE 304 SS NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%203%2F4XCL&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$1.28,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PIPE%2BPVC40%2B2/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_2%2BPVC%2BSCH%2B40%2BPLASTIC%2BPIPE%252F%2B47645%2B%2B%2B%2B%2BBelled%2BEnd,20340,,Piping & Fittings,,,,,,,,,2 PVC SCH 40 PLASTIC PIPE/ 47645     Belled End,,,,,,,,,"2 PVC SCH 40 PLASTIC PIPE
View catalog page
Keywords: CRESLI PIPE PVC40 2  CRESLINE PLASTIC PIPE COMPANY CRESLI47645          2 PVC SCH 40 PLASTIC PIPE
Kelly Legacy Part Number: 1102006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPE PVC40 2,,,,,,,,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,,,,,,,,098248476459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 PVC SCH 40 PLASTIC PIPE/ 47645     Belled End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3/4 in,,,,,,FIG 1105,,,,$5.32,,,,,,,,,,,,,,,,,https://kscdirect.com/item/TEE%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BBLK%2BMI%2B150%2523%2BTEE,651,,Piping & Fittings,,,,,,,,,3/4 BLK MI 150# TEE,,,,,,,,,"Description
Anvil® Straight Pipe Tee, Series: FIG 1105, Fitting/Connector Type: Tee, 3/4 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Black Oxide,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,SCH 40/STD,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4161461,,TEE BLK 3/4,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,69029134567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0310030002,,,,,Malleable Iron,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Tee,,,,,,,,,,3/4 BLK MI 150# TEE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=TEE%20BLK%203%2F4&mdx=300,,,,,,-20 to 150 deg F,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$1.51,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2B304%2B1%252F2XCL/Merit%2BBrass%2BCompany_1%252F2%2BX%2BCL%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,761,,Piping & Fittings,,,,,,,,,1/2 X CL SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1/2 in Nominal, MNPT, Close Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,Close,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP 304 1/2XCL,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404026707,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,4008-001,,,,,304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X CL SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201%2F2XCL&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,2 in,,,,,,FIG 1101,,,,$21.71,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B2/ASC%2BEngineered%2BSolutions_2%2BBLK%2BMI%2B150%2523%2B90%2BELL,653,,Piping & Fittings,,,,,,,,,2 BLK MI 150# 90 ELL,,,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Black Oxide,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,SCH 40/STD,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4153362,,90 BLK 2,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Standard,,,,,,,69029134636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0310001805,,,,,Malleable Iron,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,,,,,,,,,2 BLK MI 150# 90 ELL,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%202&mdx=300,,,,,,-20 to 150 deg F,,,
,,,,,,,,,,,,,,1/4 in,,,,,,,,,,$0.97,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2B304%2B1%252F4XCL/Merit%2BBrass%2BCompany_1%252F4%2BX%2BCL%2BSCH%2B40%2BTYPE%2B304%2BSS%2BNIPPLE,582,,Piping & Fittings,,,,,,,,,1/4 X CL SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,"Description
Merit Brass Pipe Nipple, 1/4 in Nominal, MNPT, Close Length, SCH 40/STD, Welded, 304L Stainless Steel, Domestic
Standards/Approval:
ANSI B1.20.1
ASTM A312/SA312/A733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,Close,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIP 304 1/4XCL,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404026349,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,4004-001,,,,,304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 X CL SCH 40 TYPE 304 SS NIPPLE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20304%201%2F4XCL&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,2 in,,,,,,,,,,$1.88,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B429-020/Spears_2%2BPVC-40%2BCOUP%2BS%2BX%2BS,646,,Piping & Fittings,,,,,,,,,2 PVC-40 COUP S X S,,,,,,,,,"Description
Spears® 429-020, Standard, Coupling Fitting/Connector, 2 in Nominal, Socket End Style, 2-7/8 in Length, SCH 40 Schedule, Molded Method of Manufacture, PVC, White, 140 deg F, 2-3/4 in Dia Dimensions, Domestic/Import: Domestic
Features:
Exceptional chemical and corrosion resistance
High temperature ratings
Lower installation costs
Higher flow capacity
Additional fabricated configurations through 36 in
Advanced design specialty fittings
Standards/Approval:
ASTM D1784
ASTM D1785
ASTM D2466
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,2-7/8 in,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5418745,,SPE 429-020,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,2-3/4 in Dia,,,,,Standard,,,,,,,054211164457,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,429-020,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling,,White,,,,,,,,2 PVC-40 COUP S X S,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%20429-020&mdx=300,,,,,,140 deg F,,,
,,,,,,,,,,,,,,1/2 in,,,,,,,,,,$3.51,,,,,,,,,,,,,,,,,https://kscdirect.com/item/COUP%2B304%2B1%252F2/Merit%2BBrass%2BCompany_1%252F2%2B150%2523%2BTYPE%2B304SS%2BCAST%2BSTOCK%2BCOUP,690,,Piping & Fittings,,,,,,,,,1/2 150# TYPE 304SS CAST STOCK COUP,,,,,,,,,"Description
Merit Brass Pipe Coupling, Fitting/Connector Type: Coupling, 1/2 in Nominal, FNPT, 150 lb Pressure Class, 304/304L Stainless Steel, 100 deg F, Import
Standards/Approval:
PROP65: This product can expose you to lead, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5767077,,COUP 304 1/2,,,,,,,,,,,,,,,,,,,,,,,,Merit Brass Company,,,,,,,,,,,,,,,,,,,671404094799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Import,,,,,,K411-08,,,,,304/304L Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling,,,,,,,,,,1/2 150# TYPE 304SS CAST STOCK COUP,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=COUP%20304%201%2F2&mdx=300,,,,,,100 deg F,,,
,,,,,,,,,,,,,,3/4 in,,,,,,,,,,$1.13,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PLUG%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BSTEEL%2BSTD%2BMERCHANT%2BSQ%2BHEAD%2BPLUG,1393,,Piping & Fittings,,,,,,,,,3/4 STEEL STD MERCHANT SQ HEAD PLUG,,,,,,,,,"Description
Anvil® Solid Plug, Square Head, Fitting/Connector Type: Plug, 3/4 in Nominal, MNPT, 125 lb, 175 psi, Merchant Steel, Black Oxide, -20 to 150 deg F, Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.4
cULus Listed
FM Approved",,,Black Oxide,,,,,,,,,,,,,,,,,,,,175 psi,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4158373,,PLUG BLK 3/4,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,Square Head,,,,,,,69029135343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 lb,,,,Domestic,,,,,,0318901600,,,,,Merchant Steel,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,Plug,,,,,,,,,,3/4 STEEL STD MERCHANT SQ HEAD PLUG,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=PLUG%20BLK%203%2F4&mdx=300,,,,,,-20 to 150 deg F,,,
,,,,,,,,,,,,,,2 in,,,,,,P300,,,,$4.20,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BPVCD%2B2/Spears_2%2BPVC-DWV%2B90%2BELL%2BP300-020,416,,Piping & Fittings,,,,,,,,,2 PVC-DWV 90 ELL P300-020,,,,,,,,,"Description
Spears® P300-020, P300, 90 deg Elbow Fitting/Connector, 2 in Nominal, Hub End Style, Molded Method of Manufacture, PVC, White, Domestic/Import: Domestic
Standards/Approval:
ASTM D2665
ASTM D3311
ASTM D1784
ASTM F1866
NSF 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5494680,,90 PVCD 2,,,,,,,,,,,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,054211176009,,,,,,,,,,,,,Molded,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,P300-020,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,White,,,,,,,,2 PVC-DWV 90 ELL P300-020,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20PVCD%202&mdx=300,,,,,,,,,
